"","region","city","n","lat","long"
"728","TX","Spring",2,30.0795707,-95.4187924
"729","TX","Stafford",1,29.6160671,-95.5577221
"730","TX","Stephenville",1,32.2201387,-98.2045388
"731","TX","Temple",1,31.0983747,-97.3429563
"732","TX","Terrell",1,32.7359626,-96.2752569
"733","TX","Texarkana",1,33.4466745,-94.0771483
"734","TX","Tomball",1,30.0971621,-95.6160549
"735","TX","Tyler",2,32.3512601,-95.3010624
"736","TX","Victoria",1,28.7997547,-97.0064246
"737","TX","Waco",1,31.5491899,-97.1474628
"738","TX","Watauga",1,32.8579056,-97.2547371
"739","TX","Weatherford",1,32.7589648,-97.7970748
"740","TX","Webster",1,29.5351724,-95.1161564
"741","UT","Clinton",1,41.1471616,-112.0548389
"742","UT","Farmington",1,40.9804423,-111.8874688
"743","UT","Layton",1,41.0751048,-111.9741925
"744","UT","Murray",1,40.6667841,-111.888417
"745","UT","Ogden",1,41.2230048,-111.9738429
"746","UT","Orem",1,40.2981599,-111.6944313
"747","UT","Providence",1,41.7062699,-111.817638
"748","UT","Provo",1,40.2337289,-111.6587085
"749","UT","Riverdale",1,41.1785325,-111.992818
"750","UT","Riverton",1,40.5179761,-111.9393701
"751","UT","Sandy",1,40.5710454,-111.8953815
"752","UT","Taylorsville",1,40.6676347,-111.9388027
"753","UT","Vernal",1,40.4556825,-109.528474
"754","UT","Washington",1,37.1305373,-113.5082867
"755","VT","Rutland",1,43.6084792,-72.9724768
"756","VA","Bristol",1,36.5959685,-82.1885009
"757","VA","Chantilly",1,38.8941543,-77.4311513
"758","VA","Charlottesville",1,38.029306,-78.4766781
"759","VA","Chesapeake",2,36.7168315,-76.2494453
"760","VA","Christiansburg",1,37.1298517,-80.4089389
"761","VA","Culpeper",1,38.4733823,-77.9961275
"762","VA","Danville",1,36.5879877,-79.3916713
"763","VA","Fairfax",1,38.8462236,-77.3063733
"764","VA","Fredericksburg",2,38.3031837,-77.4605399
"765","VA","Harrisonburg",1,38.4493315,-78.8688833
"766","VA","Lynchburg",1,37.4137536,-79.1422464
"767","VA","Manassas",1,38.7509488,-77.4752667
"768","VA","Mclean",1,38.9342888,-77.1776327
"769","VA","Midlothian",2,37.5062673,-77.649268
